🚀 STARTING COMPREHENSIVE BACKTEST (Last 120 Days)...

📥 Fetching data for NIFTY50 (History needed for indicators)...
📊 Total Candles Fetched: 1302
🗓️ Data Range: 2025-09-05T09:15 to 2026-02-01T15:15
✅ [2025-10-06T09:15] STRONG SIGNAL: UP | Conf: 92.0% | Target: 47.1 | SL: 94.3 | Result: WIN | Reason: NIFTY: Gamma Blast (Price > Upper BB) + RSI>60 + ADX>25
✅ [2025-10-06T12:45] STRONG SIGNAL: UP | Conf: 88.0% | Target: 38.8 | SL: 77.7 | Result: WIN | Reason: NIFTY: Strong Trend (EMA Align) + RSI>55 + ADX>30
❌ [2025-10-07T09:45] STRONG SIGNAL: UP | Conf: 88.0% | Target: 41.8 | SL: 83.7 | Result: LOSS | Reason: NIFTY: Strong Trend (EMA Align) + RSI>55 + ADX>30
❌ [2025-10-07T13:15] STRONG SIGNAL: UP | Conf: 88.0% | Target: 46.3 | SL: 92.6 | Result: LOSS | Reason: NIFTY: Strong Trend (EMA Align) + RSI>55 + ADX>30
✅ [2025-10-09T11:15] STRONG SIGNAL: UP | Conf: 88.0% | Target: 55.8 | SL: 111.7 | Result: WIN | Reason: NIFTY: Strong Trend (EMA Align) + RSI>55 + ADX>30
✅ [2025-10-09T14:45] STRONG SIGNAL: UP | Conf: 88.0% | Target: 54.1 | SL: 108.1 | Result: WIN | Reason: NIFTY: Strong Trend (EMA Align) + RSI>55 + ADX>30
❌ [2025-10-10T11:45] STRONG SIGNAL: UP | Conf: 88.0% | Target: 48.2 | SL: 96.3 | Result: LOSS | Reason: NIFTY: Strong Trend (EMA Align) + RSI>55 + ADX>30
❌ [2025-10-10T15:15] STRONG SIGNAL: UP | Conf: 88.0% | Target: 41.0 | SL: 81.9 | Result: LOSS | Reason: NIFTY: Strong Trend (EMA Align) + RSI>55 + ADX>30
✅ [2025-10-14T11:45] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 53.0 | SL: 106.1 | Result: WIN | Reason: NIFTY: Gamma Blast (Price < Lower BB) + RSI<40 + ADX>25
❌ [2025-10-14T15:15] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 61.3 | SL: 122.5 | Result: LOSS | Reason: NIFTY: Strong Trend (EMA Align) + RSI<45 + ADX>30
✅ [2025-10-15T12:15] STRONG SIGNAL: UP | Conf: 88.0% | Target: 57.7 | SL: 115.4 | Result: WIN | Reason: NIFTY: Strong Trend (EMA Align) + RSI>55 + ADX>30
✅ [2025-10-16T09:15] STRONG SIGNAL: UP | Conf: 88.0% | Target: 50.1 | SL: 100.2 | Result: WIN | Reason: NIFTY: Strong Trend (EMA Align) + RSI>55 + ADX>30
✅ [2025-10-16T12:45] STRONG SIGNAL: UP | Conf: 88.0% | Target: 38.6 | SL: 77.1 | Result: WIN | Reason: NIFTY: Strong Trend (EMA Align) + RSI>55 + ADX>30
✅ [2025-10-17T09:45] STRONG SIGNAL: UP | Conf: 88.0% | Target: 49.7 | SL: 99.3 | Result: WIN | Reason: NIFTY: Strong Trend (EMA Align) + RSI>55 + ADX>30
✅ [2025-10-17T13:15] STRONG SIGNAL: UP | Conf: 88.0% | Target: 66.0 | SL: 132.1 | Result: WIN | Reason: NIFTY: Strong Trend (EMA Align) + RSI>55 + ADX>30
✅ [2025-10-20T13:45] STRONG SIGNAL: UP | Conf: 88.0% | Target: 61.4 | SL: 122.8 | Result: WIN | Reason: NIFTY: Strong Trend (EMA Align) + RSI>55 + ADX>30
❌ [2025-10-23T09:45] STRONG SIGNAL: UP | Conf: 92.0% | Target: 66.5 | SL: 133.0 | Result: LOSS | Reason: NIFTY: Gamma Blast (Price > Upper BB) + RSI>60 + ADX>25
❌ [2025-10-23T13:15] STRONG SIGNAL: UP | Conf: 88.0% | Target: 67.4 | SL: 134.8 | Result: LOSS | Reason: NIFTY: Strong Trend (EMA Align) + RSI>55 + ADX>30
✅ [2025-10-27T10:15] STRONG SIGNAL: UP | Conf: 88.0% | Target: 58.3 | SL: 116.6 | Result: WIN | Reason: NIFTY: Strong Trend (EMA Align) + RSI>55 + ADX>30
✅ [2025-10-27T13:45] STRONG SIGNAL: UP | Conf: 88.0% | Target: 49.6 | SL: 99.3 | Result: WIN | Reason: NIFTY: Strong Trend (EMA Align) + RSI>55 + ADX>30
❌ [2025-10-29T10:15] STRONG SIGNAL: UP | Conf: 88.0% | Target: 66.7 | SL: 133.4 | Result: LOSS | Reason: NIFTY: Strong Trend (EMA Align) + RSI>55 + ADX>30
❌ [2025-10-29T13:45] STRONG SIGNAL: UP | Conf: 88.0% | Target: 52.1 | SL: 104.3 | Result: LOSS | Reason: NIFTY: Strong Trend (EMA Align) + RSI>55 + ADX>30
✅ [2025-10-31T09:45] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 52.7 | SL: 105.4 | Result: WIN | Reason: NIFTY: Strong Trend (EMA Align) + RSI<45 + ADX>30
✅ [2025-10-31T13:15] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 56.2 | SL: 112.4 | Result: WIN | Reason: NIFTY: Strong Trend (EMA Align) + RSI<45 + ADX>30
✅ [2025-11-03T10:15] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 53.4 | SL: 106.8 | Result: WIN | Reason: NIFTY: Strong Trend (EMA Align) + RSI<45 + ADX>30
✅ [2025-11-04T10:45] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 41.7 | SL: 83.5 | Result: WIN | Reason: NIFTY: Strong Trend (EMA Align) + RSI<45 + ADX>30
✅ [2025-11-04T14:15] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 42.0 | SL: 84.0 | Result: WIN | Reason: NIFTY: Strong Trend (EMA Align) + RSI<45 + ADX>30
✅ [2025-11-06T11:15] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 45.2 | SL: 90.3 | Result: WIN | Reason: NIFTY: Strong Trend (EMA Align) + RSI<45 + ADX>30
✅ [2025-11-06T14:45] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 51.2 | SL: 102.5 | Result: WIN | Reason: NIFTY: Strong Trend (EMA Align) + RSI<45 + ADX>30
❌ [2025-11-07T11:45] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 60.8 | SL: 121.5 | Result: LOSS | Reason: NIFTY: Strong Trend (EMA Align) + RSI<45 + ADX>30
❌ [2025-11-11T10:15] STRONG SIGNAL: DOWN | Conf: 88.0% | Target: 46.9 | SL: 93.9 | Result: LOSS | Reason: NIFTY: Strong Trend (EMA Align) + RSI<45 + ADX>30
✅ [2025-11-11T15:15] STRONG SIGNAL: UP | Conf: 88.0% | Target: 52.9 | SL: 105.8 | Result: WIN | Reason: NIFTY: Strong Trend (EMA Align) + RSI>55 + ADX>30
❌ [2025-11-12T12:15] STRONG SIGNAL: UP | Conf: 88.0% | Target: 46.3 | SL: 92.5 | Result: LOSS | Reason: NIFTY: Strong Trend (EMA Align) + RSI>55 + ADX>30
✅ [2025-11-13T09:15] STRONG SIGNAL: UP | Conf: 88.0% | Target: 44.1 | SL: 88.2 | Result: WIN | Reason: NIFTY: Strong Trend (EMA Align) + RSI>55 + ADX>30
❌ [2025-11-13T12:45] STRONG SIGNAL: UP | Conf: 88.0% | Target: 40.8 | SL: 81.5 | Result: LOSS | Reason: NIFTY: Strong Trend (EMA Align) + RSI>55 + ADX>30
❌ [2025-11-14T10:15] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 58.9 | SL: 117.8 | Result: LOSS | Reason: NIFTY: Gamma Blast (Price < Lower BB) + RSI<40 + ADX>25
❌ [2025-11-17T12:45] STRONG SIGNAL: UP | Conf: 88.0% | Target: 49.8 | SL: 99.5 | Result: LOSS | Reason: NIFTY: Strong Trend (EMA Align) + RSI>55 + ADX>30
✅ [2025-11-19T10:15] STRONG SIGNAL: UP | Conf: 88.0% | Target: 43.1 | SL: 86.1 | Result: WIN | Reason: NIFTY: Strong Trend (EMA Align) + RSI>55 + ADX>30
❌ [2025-11-20T14:15] STRONG SIGNAL: UP | Conf: 88.0% | Target: 34.5 | SL: 69.0 | Result: LOSS | Reason: NIFTY: Strong Trend (EMA Align) + RSI>55 + ADX>30
✅ [2025-11-24T14:15] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 46.0 | SL: 91.9 | Result: WIN | Reason: NIFTY: Gamma Blast (Price < Lower BB) + RSI<40 + ADX>25
❌ [2025-11-25T14:45] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 58.2 | SL: 116.3 | Result: LOSS | Reason: NIFTY: Gamma Blast (Price < Lower BB) + RSI<40 + ADX>25
✅ [2025-11-26T11:45] STRONG SIGNAL: UP | Conf: 92.0% | Target: 57.5 | SL: 115.0 | Result: WIN | Reason: NIFTY: Gamma Blast (Price > Upper BB) + RSI>60 + ADX>25
❌ [2025-12-01T09:15] STRONG SIGNAL: UP | Conf: 92.0% | Target: 42.0 | SL: 83.9 | Result: LOSS | Reason: NIFTY: Gamma Blast (Price > Upper BB) + RSI>60 + ADX>25
✅ [2025-12-02T09:15] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 51.1 | SL: 102.1 | Result: WIN | Reason: NIFTY: Gamma Blast (Price < Lower BB) + RSI<40 + ADX>25
✅ [2025-12-03T09:15] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 46.5 | SL: 93.0 | Result: WIN | Reason: NIFTY: Gamma Blast (Price < Lower BB) + RSI<40 + ADX>25
❌ [2025-12-04T10:15] STRONG SIGNAL: UP | Conf: 92.0% | Target: 44.6 | SL: 89.1 | Result: LOSS | Reason: NIFTY: Gamma Blast (Price > Upper BB) + RSI>60 + ADX>25
✅ [2025-12-05T11:15] STRONG SIGNAL: UP | Conf: 92.0% | Target: 53.3 | SL: 106.6 | Result: WIN | Reason: NIFTY: Gamma Blast (Price > Upper BB) + RSI>60 + ADX>25
✅ [2025-12-08T13:15] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 48.7 | SL: 97.4 | Result: WIN | Reason: NIFTY: Gamma Blast (Price < Lower BB) + RSI<40 + ADX>25
✅ [2025-12-10T13:45] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 56.1 | SL: 112.2 | Result: WIN | Reason: NIFTY: Gamma Blast (Price < Lower BB) + RSI<40 + ADX>25
❌ [2025-12-18T09:15] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 47.9 | SL: 95.9 | Result: LOSS | Reason: NIFTY: Gamma Blast (Price < Lower BB) + RSI<40 + ADX>25
✅ [2025-12-22T09:15] STRONG SIGNAL: UP | Conf: 92.0% | Target: 56.1 | SL: 112.2 | Result: WIN | Reason: NIFTY: Gamma Blast (Price > Upper BB) + RSI>60 + ADX>25
❌ [2025-12-24T09:45] STRONG SIGNAL: UP | Conf: 92.0% | Target: 38.6 | SL: 77.3 | Result: LOSS | Reason: NIFTY: Gamma Blast (Price > Upper BB) + RSI>60 + ADX>25
✅ [2025-12-26T09:15] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 35.1 | SL: 70.3 | Result: WIN | Reason: NIFTY: Gamma Blast (Price < Lower BB) + RSI<40 + ADX>25
✅ [2025-12-29T12:15] STRONG SIGNAL: DOWN | Conf: 92.0% | Target: 31.2 | SL: 62.4 | Result: WIN | Reason: NIFTY: Gamma Blast (Price < Lower BB) + RSI<40 + ADX>25
✅ [2025-12-31T10:15] STRONG SIGNAL: UP | Conf: 92.0% | Target: 39.0 | SL: 78.1 | Result: WIN | Reason: NIFTY: Gamma Blast (Price > Upper BB) + RSI>60 + ADX>25
✅ [2026-01-02T09:15] STRONG SIGNAL: UP | Conf: 92.0% | Target: 43.5 | SL: 87.0 | Result: WIN | Reason: NIFTY: Gamma Blast (Price > Upper BB) + RSI>60 + ADX>25
