????????????????????????????????????????????????????????????????????????????????
?   BANKNIFTY V33 MEAN-REVERSION 120-DAY BACKTEST  (test only)                ?
????????????????????????????????????????????????????????????????????????????????
? Fetching HONEST market data (5-Min Resampled) for: BANKNIFTY
? Loaded 6000 candles from disk cache for BANKNIFTY
? Updating live data for BANKNIFTY...
? Historical API URL: https://api.upstox.com/v2/historical-candle/NSE_INDEX%7CNifty%20Bank/1minute/2026-05-29/2026-05-28
? Fetched 0 historical candles for BANKNIFTY
? Intraday: fetched 375 candles for BANKNIFTY
? Cache updated & saved. Size: 6000 candles.
Loaded 6000 candles for BANKNIFTY.

Scanning 2026-01-30 ? 2026-05-29


?????????????????? BANKNIFTY V33 MEAN-REVERSION RESULTS ??????????????????
  Total Calls   : 113
  Full Wins     : 75 (66.4% true WR)
  Partial Wins  : 13
  Losses        : 25
  Win Rate (W+P): 77.9%
  Net Points    : +2,192
  Trading days with signals: 76  |  Avg calls/active day: 1.49

  VERDICT: 77.9% WR — ? HIT TARGET — ask user permission to integrate

  Per-call detail:
  Date         Time   Dir        Entry   +Tgt    -SL  Conf Result            P&L
  ?????????????????????????????????????????????????????????????????????????????????????
  2026-02-03   11:35  DOWN      60,222     41     61   87% WIN               +41
  2026-02-03   12:50  UP        60,110     35     52   87% WIN               +35
  2026-02-04   10:10  DOWN      60,264     51     77   87% WIN               +51
  2026-02-04   11:25  UP        60,178     32     48   89% WIN               +32
  2026-02-05   10:10  UP        60,171     46     68   89% WIN               +46
  2026-02-06   10:55  UP        59,699     45     68   90% WIN               +45
  2026-02-06   11:50  DOWN      59,944     36     53   90% WIN               +36
  2026-02-09   11:40  DOWN      60,646     30     45   87% WIN               +30
  2026-02-09   12:55  UP        60,558     30     45   87% WIN               +30
  2026-02-10   09:45  DOWN      60,657     31     47   89% WIN               +31
  2026-02-11   09:50  UP        60,573     44     66   89% PARTIAL WIN       +13
  2026-02-11   10:50  DOWN      60,642     36     54   89% LOSS              -54
  2026-02-12   09:50  DOWN      60,786     32     48   87% LOSS              -48
  2026-02-12   11:40  UP        60,794     30     45   89% LOSS              -45
  2026-02-13   10:00  UP        60,503     43     65   92% LOSS              -65
  2026-02-13   12:35  DOWN      60,351     30     45   89% WIN               +30
  2026-02-16   10:20  DOWN      60,371     59     89   89% LOSS              -89
  2026-02-17   10:35  DOWN      61,082     46     70   90% WIN               +46
  2026-02-18   12:45  DOWN      61,314     30     45   87% LOSS              -45
  2026-02-19   10:40  UP        61,326     34     50   87% WIN               +34
  2026-02-20   10:20  DOWN      61,100     70    105   87% LOSS             -105
  2026-02-23   10:50  UP        61,214     46     69   89% WIN               +46
  2026-02-24   11:00  UP        61,201     33     49   87% WIN               +33
  2026-02-24   11:40  DOWN      61,330     36     54   89% WIN               +36
  2026-02-25   10:20  DOWN      61,243     40     61   87% WIN               +40
  2026-02-25   11:25  UP        61,155     30     45   89% LOSS              -45
  2026-02-26   09:50  DOWN      61,120     43     64   89% LOSS              -64
  2026-02-26   12:00  UP        61,021     35     53   87% LOSS              -53
  2026-02-27   11:00  UP        60,740     34     50   89% WIN               +34
  2026-03-02   10:55  UP        59,818     46     69   89% WIN               +46
  2026-03-04   11:00  UP        58,605     51     76   89% WIN               +51
  2026-03-05   11:20  DOWN      59,055     42     63   89% WIN               +42
  2026-03-05   12:00  UP        58,748     47     71   87% WIN               +47
  2026-03-06   10:50  UP        58,388     44     66   87% WIN               +44
  2026-03-09   11:45  DOWN      55,764     86    128   87% WIN               +86
  2026-03-09   12:50  UP        55,756     49     73   89% WIN               +49
  2026-03-10   10:20  DOWN      56,744    102    153   87% LOSS             -153
  2026-03-10   12:45  UP        56,818     51     76   89% WIN               +51
  2026-03-11   09:45  UP        56,709     60     90   87% LOSS              -90
  2026-03-12   11:50  UP        55,094     55     82   87% WIN               +55
  2026-03-13   11:55  DOWN      54,126     48     71   89% WIN               +48
  2026-03-13   12:45  UP        53,914     50     76   89% WIN               +50
  2026-03-16   10:55  UP        53,422     73    109   87% WIN               +73
  2026-03-17   10:25  DOWN      54,453     72    109   89% WIN               +72
