2025-11-15 23:50:03.169 [main] INFO  c.t.b.c.CompleteIntegratedTradingBot - Complete Integrated Trading Bot (Phase 1-5) created
2025-11-15 23:50:03.257 [main] INFO  c.t.b.c.CompleteIntegratedTradingBot - === Initializing Complete Integrated Trading Bot (Phase 1-5) ===
2025-11-15 23:50:03.257 [main] INFO  c.t.b.c.CompleteIntegratedTradingBot - Initializing Phase 1: Enhanced Technical + Machine Learning...
2025-11-15 23:50:03.361 [main] INFO  c.t.b.c.CompleteIntegratedTradingBot - Initializing Phase 2: Multi-timeframe + Advanced Indicators...
2025-11-15 23:50:03.461 [main] INFO  c.t.b.c.CompleteIntegratedTradingBot - Initializing Phase 3: Smart Money + Institutional Analysis...
2025-11-15 23:50:03.566 [main] INFO  c.t.b.c.CompleteIntegratedTradingBot - Initializing Phase 4: Portfolio Optimization + Risk Management...
2025-11-15 23:50:03.667 [main] INFO  c.t.b.c.CompleteIntegratedTradingBot - Initializing Phase 5: AI Neural Networks + Real-Time + Auto Execution...
2025-11-15 23:50:03.768 [main] INFO  c.t.b.c.CompleteIntegratedTradingBot - ✅ All phases (1-5) initialized successfully!
2025-11-15 23:50:03.769 [main] INFO  c.t.b.c.CompleteIntegratedTradingBot - 🎯 Complete Integrated Trading Bot is ready for operation
2025-11-15 23:50:03.774 [main] INFO  c.t.b.c.CompleteIntegratedTradingBot - === Generating Complete Integrated Call for NIFTY ===
2025-11-15 23:50:03.794 [main] INFO  c.t.b.c.CompleteIntegratedTradingBot - ✅ Generated integrated call: NIFTY HOLD 60.2% (P1:52% P2:43% P3:49% P4:50% P5:53%)
