HONEST BOT BACKTEST DETAILED REPORT
===================================
Date: 2025-10-28
Total Predictions: 52
Correct Predictions: 29
Accuracy: 55.77%
Win Rate: 55.77%
Total P&L: ₹-4626.10

DETAILED TRADE RESULTS:
=======================
09:15 | NIFTY | BULLISH | Entry: 25986.85 | Actual: 25988.90 | P&L: 102.50 | ✅
09:15 | SENSEX | BEARISH | Entry: 84853.87 | Actual: 84831.80 | P&L: 220.70 | ✅
09:30 | NIFTY | BEARISH | Entry: 25988.90 | Actual: 26020.75 | P&L: -1592.50 | ❌
09:30 | SENSEX | BEARISH | Entry: 84831.80 | Actual: 84939.01 | P&L: -1072.10 | ❌
09:45 | NIFTY | BEARISH | Entry: 26020.75 | Actual: 25958.05 | P&L: 3135.00 | ✅
09:45 | SENSEX | BULLISH | Entry: 84939.01 | Actual: 84692.78 | P&L: -2462.30 | ❌
10:00 | NIFTY | BULLISH | Entry: 25958.05 | Actual: 25895.75 | P&L: -3115.00 | ❌
10:00 | SENSEX | BEARISH | Entry: 84692.78 | Actual: 84505.22 | P&L: 1875.60 | ✅
10:15 | NIFTY | BULLISH | Entry: 25895.75 | Actual: 25901.75 | P&L: 300.00 | ✅
10:15 | SENSEX | BULLISH | Entry: 84505.22 | Actual: 84538.31 | P&L: 330.90 | ✅
10:30 | NIFTY | BULLISH | Entry: 25901.75 | Actual: 25892.95 | P&L: -440.00 | ❌
10:30 | SENSEX | BEARISH | Entry: 84538.31 | Actual: 84503.33 | P&L: 349.80 | ✅
10:45 | NIFTY | BEARISH | Entry: 25892.95 | Actual: 25859.75 | P&L: 1660.00 | ✅
10:45 | SENSEX | BEARISH | Entry: 84503.33 | Actual: 84394.43 | P&L: 1089.00 | ✅
11:00 | NIFTY | BULLISH | Entry: 25859.75 | Actual: 25849.55 | P&L: -510.00 | ❌
11:00 | SENSEX | BEARISH | Entry: 84394.43 | Actual: 84342.12 | P&L: 523.10 | ✅
11:15 | NIFTY | BEARISH | Entry: 25849.55 | Actual: 25890.25 | P&L: -2035.00 | ❌
11:15 | SENSEX | BEARISH | Entry: 84342.12 | Actual: 84480.40 | P&L: -1382.80 | ❌
11:30 | NIFTY | BEARISH | Entry: 25890.25 | Actual: 25873.10 | P&L: 857.50 | ✅
11:30 | SENSEX | BEARISH | Entry: 84480.40 | Actual: 84424.22 | P&L: 561.80 | ✅
11:45 | NIFTY | BEARISH | Entry: 25873.10 | Actual: 25851.25 | P&L: 1092.50 | ✅
11:45 | SENSEX | BEARISH | Entry: 84424.22 | Actual: 84330.77 | P&L: 934.50 | ✅
12:00 | NIFTY | BULLISH | Entry: 25851.25 | Actual: 25844.60 | P&L: -332.50 | ❌
12:00 | SENSEX | BEARISH | Entry: 84330.77 | Actual: 84306.63 | P&L: 241.40 | ✅
12:15 | NIFTY | BEARISH | Entry: 25844.60 | Actual: 25865.75 | P&L: -1057.50 | ❌
12:15 | SENSEX | BULLISH | Entry: 84306.63 | Actual: 84395.04 | P&L: 884.10 | ✅
12:30 | NIFTY | BEARISH | Entry: 25865.75 | Actual: 25928.15 | P&L: -3120.00 | ❌
12:30 | SENSEX | BULLISH | Entry: 84395.04 | Actual: 84591.09 | P&L: 1960.50 | ✅
12:45 | NIFTY | BEARISH | Entry: 25928.15 | Actual: 25933.65 | P&L: -275.00 | ❌
12:45 | SENSEX | BULLISH | Entry: 84591.09 | Actual: 84576.69 | P&L: -144.00 | ❌
