Symbol,Timestamp,DateTime,Price,Open,High,Low,Volume,ImpliedVolatility,Turnover,Source
SENSEX,1763229198196,2025-11-15T23:23:18.196,84500.00,84500.00,84669.00,84331.00,1000000,16.80,84500000000.00,YAHOO_FINANCE
SENSEX,1763229138196,2025-11-15T23:22:18.196,84502.00,84502.00,84671.00,84333.00,1001000,16.80,84586501966.63,YAHOO_FINANCE
SENSEX,1763229078196,2025-11-15T23:21:18.196,84504.00,84504.00,84673.01,84334.99,1002000,16.80,84673007732.81,YAHOO_FINANCE
SENSEX,1763229018196,2025-11-15T23:20:18.196,84506.00,84506.00,84675.01,84336.99,1003000,16.80,84759517097.34,YAHOO_FINANCE
SENSEX,1763228958196,2025-11-15T23:19:18.196,84508.00,84508.00,84677.01,84338.98,1004000,16.80,84846029858.30,YAHOO_FINANCE
SENSEX,1763228898196,2025-11-15T23:18:18.196,84510.00,84510.00,84679.02,84340.98,1005000,16.80,84932545813.02,YAHOO_FINANCE
SENSEX,1763228838196,2025-11-15T23:17:18.196,84511.99,84511.99,84681.02,84342.97,1006000,16.80,85019064758.10,YAHOO_FINANCE
SENSEX,1763228778196,2025-11-15T23:16:18.196,84513.99,84513.99,84683.02,84344.96,1007000,16.80,85105586489.45,YAHOO_FINANCE
SENSEX,1763228718196,2025-11-15T23:15:18.196,84515.98,84515.98,84685.01,84346.95,1008000,16.80,85192110802.30,YAHOO_FINANCE
SENSEX,1763228658196,2025-11-15T23:14:18.196,84517.98,84517.98,84687.01,84348.94,1009000,16.80,85278637491.23,YAHOO_FINANCE
SENSEX,1763228598196,2025-11-15T23:13:18.196,84519.97,84519.97,84689.01,84350.93,1010000,16.80,85365166350.16,YAHOO_FINANCE
SENSEX,1763228538196,2025-11-15T23:12:18.196,84521.96,84521.96,84691.00,84352.91,1011000,16.80,85451697172.43,YAHOO_FINANCE
SENSEX,1763228478196,2025-11-15T23:11:18.196,84523.94,84523.94,84692.99,84354.89,1012000,16.80,85538229750.76,YAHOO_FINANCE
SENSEX,1763228418196,2025-11-15T23:10:18.196,84525.93,84525.93,84694.98,84356.87,1013000,16.80,85624763877.29,YAHOO_FINANCE
SENSEX,1763228358196,2025-11-15T23:09:18.196,84527.91,84527.91,84696.96,84358.85,1014000,16.80,85711299343.65,YAHOO_FINANCE
SENSEX,1763228298196,2025-11-15T23:08:18.196,84529.89,84529.89,84698.95,84360.83,1015000,16.80,85797835940.89,YAHOO_FINANCE
SENSEX,1763228238196,2025-11-15T23:07:18.196,84531.86,84531.86,84700.93,84362.80,1016000,16.80,85884373459.58,YAHOO_FINANCE
SENSEX,1763228178196,2025-11-15T23:06:18.196,84533.84,84533.84,84702.90,84364.77,1017000,16.80,85970911689.80,YAHOO_FINANCE
SENSEX,1763228118196,2025-11-15T23:05:18.196,84535.81,84535.81,84704.88,84366.73,1018000,16.80,86057450421.15,YAHOO_FINANCE
SENSEX,1763228058196,2025-11-15T23:04:18.196,84537.77,84537.77,84706.85,84368.70,1019000,16.80,86143989442.80,YAHOO_FINANCE
SENSEX,1763227998196,2025-11-15T23:03:18.196,84539.73,84539.73,84708.81,84370.65,1020000,16.80,86230528543.48,YAHOO_FINANCE
SENSEX,1763227938196,2025-11-15T23:02:18.196,84541.69,84541.69,84710.78,84372.61,1021000,16.80,86317067511.55,YAHOO_FINANCE
SENSEX,1763227878196,2025-11-15T23:01:18.196,84543.65,84543.65,84712.73,84374.56,1022000,16.80,86403606134.96,YAHOO_FINANCE
SENSEX,1763227818196,2025-11-15T23:00:18.196,84545.60,84545.60,84714.69,84376.50,1023000,16.80,86490144201.32,YAHOO_FINANCE
SENSEX,1763227758196,2025-11-15T22:59:18.196,84547.54,84547.54,84716.64,84378.45,1024000,16.80,86576681497.89,YAHOO_FINANCE
SENSEX,1763227698196,2025-11-15T22:58:18.196,84549.48,84549.48,84718.58,84380.38,1025000,16.80,86663217811.65,YAHOO_FINANCE
SENSEX,1763227638196,2025-11-15T22:57:18.196,84551.42,84551.42,84720.52,84382.31,1026000,16.80,86749752929.25,YAHOO_FINANCE
SENSEX,1763227578196,2025-11-15T22:56:18.196,84553.35,84553.35,84722.45,84384.24,1027000,16.80,86836286637.10,YAHOO_FINANCE
SENSEX,1763227518196,2025-11-15T22:55:18.196,84555.27,84555.27,84724.38,84386.16,1028000,16.80,86922818721.34,YAHOO_FINANCE
SENSEX,1763227458196,2025-11-15T22:54:18.196,84557.19,84557.19,84726.30,84388.08,1029000,16.80,87009348967.93,YAHOO_FINANCE
SENSEX,1763227398196,2025-11-15T22:53:18.196,84559.10,84559.10,84728.22,84389.99,1030000,16.80,87095877162.57,YAHOO_FINANCE
SENSEX,1763227338196,2025-11-15T22:52:18.196,84561.01,84561.01,84730.13,84391.89,1031000,16.80,87182403090.83,YAHOO_FINANCE
SENSEX,1763227278196,2025-11-15T22:51:18.196,84562.91,84562.91,84732.04,84393.79,1032000,16.80,87268926538.11,YAHOO_FINANCE
SENSEX,1763227218196,2025-11-15T22:50:18.196,84564.81,84564.81,84733.94,84395.68,1033000,16.80,87355447289.67,YAHOO_FINANCE
SENSEX,1763227158196,2025-11-15T22:49:18.196,84566.70,84566.70,84735.83,84397.56,1034000,16.80,87441965130.65,YAHOO_FINANCE
SENSEX,1763227098196,2025-11-15T22:48:18.196,84568.58,84568.58,84737.72,84399.44,1035000,16.80,87528479846.14,YAHOO_FINANCE
SENSEX,1763227038196,2025-11-15T22:47:18.196,84570.45,84570.45,84739.60,84401.31,1036000,16.80,87614991221.13,YAHOO_FINANCE
SENSEX,1763226978196,2025-11-15T22:46:18.196,84572.32,84572.32,84741.47,84403.18,1037000,16.80,87701499040.59,YAHOO_FINANCE
SENSEX,1763226918196,2025-11-15T22:45:18.196,84574.18,84574.18,84743.33,84405.04,1038000,16.80,87788003089.45,YAHOO_FINANCE
SENSEX,1763226858196,2025-11-15T22:44:18.196,84576.04,84576.04,84745.19,84406.89,1039000,16.80,87874503152.66,YAHOO_FINANCE
SENSEX,1763226798196,2025-11-15T22:43:18.196,84577.88,84577.88,84747.04,84408.73,1040000,16.80,87960999015.20,YAHOO_FINANCE
SENSEX,1763226738196,2025-11-15T22:42:18.196,84579.72,84579.72,84748.88,84410.56,1041000,16.80,88047490462.09,YAHOO_FINANCE
SENSEX,1763226678196,2025-11-15T22:41:18.196,84581.55,84581.55,84750.72,84412.39,1042000,16.80,88133977278.42,YAHOO_FINANCE
SENSEX,1763226618196,2025-11-15T22:40:18.196,84583.37,84583.37,84752.54,84414.21,1043000,16.80,88220459249.39,YAHOO_FINANCE
SENSEX,1763226558196,2025-11-15T22:39:18.196,84585.19,84585.19,84754.36,84416.02,1044000,16.80,88306936160.31,YAHOO_FINANCE
SENSEX,1763226498196,2025-11-15T22:38:18.196,84586.99,84586.99,84756.17,84417.82,1045000,16.80,88393407796.63,YAHOO_FINANCE
SENSEX,1763226438196,2025-11-15T22:37:18.196,84588.79,84588.79,84757.97,84419.61,1046000,16.80,88479873943.98,YAHOO_FINANCE
SENSEX,1763226378196,2025-11-15T22:36:18.196,84590.58,84590.58,84759.76,84421.40,1047000,16.80,88566334388.16,YAHOO_FINANCE
SENSEX,1763226318196,2025-11-15T22:35:18.196,84592.36,84592.36,84761.54,84423.17,1048000,16.80,88652788915.19,YAHOO_FINANCE
SENSEX,1763226258196,2025-11-15T22:34:18.196,84594.13,84594.13,84763.31,84424.94,1049000,16.80,88739237311.34,YAHOO_FINANCE
SENSEX,1763226198196,2025-11-15T22:33:18.196,84595.89,84595.89,84765.08,84426.69,1050000,16.80,88825679363.11,YAHOO_FINANCE
SENSEX,1763226138196,2025-11-15T22:32:18.196,84597.64,84597.64,84766.83,84428.44,1051000,16.80,88912114857.29,YAHOO_FINANCE
SENSEX,1763226078196,2025-11-15T22:31:18.196,84599.38,84599.38,84768.57,84430.18,1052000,16.80,88998543581.00,YAHOO_FINANCE
SENSEX,1763226018196,2025-11-15T22:30:18.196,84601.11,84601.11,84770.31,84431.90,1053000,16.80,89084965321.66,YAHOO_FINANCE
SENSEX,1763225958196,2025-11-15T22:29:18.196,84602.83,84602.83,84772.03,84433.62,1054000,16.80,89171379867.04,YAHOO_FINANCE
SENSEX,1763225898196,2025-11-15T22:28:18.196,84604.54,84604.54,84773.75,84435.33,1055000,16.80,89257787005.30,YAHOO_FINANCE
SENSEX,1763225838196,2025-11-15T22:27:18.196,84606.24,84606.24,84775.45,84437.02,1056000,16.80,89344186525.00,YAHOO_FINANCE
SENSEX,1763225778196,2025-11-15T22:26:18.196,84607.93,84607.93,84777.14,84438.71,1057000,16.80,89430578215.10,YAHOO_FINANCE
SENSEX,1763225718196,2025-11-15T22:25:18.196,84609.60,84609.60,84778.82,84440.39,1058000,16.80,89516961865.03,YAHOO_FINANCE
SENSEX,1763225658196,2025-11-15T22:24:18.196,84611.27,84611.27,84780.49,84442.05,1059000,16.80,89603337264.65,YAHOO_FINANCE
SENSEX,1763225598196,2025-11-15T22:23:18.196,84612.93,84612.93,84782.15,84443.70,1060000,16.80,89689704204.36,YAHOO_FINANCE
SENSEX,1763225538196,2025-11-15T22:22:18.196,84614.57,84614.57,84783.80,84445.34,1061000,16.80,89776062475.03,YAHOO_FINANCE
SENSEX,1763225478196,2025-11-15T22:21:18.196,84616.21,84616.21,84785.44,84446.97,1062000,16.80,89862411868.10,YAHOO_FINANCE
SENSEX,1763225418196,2025-11-15T22:20:18.196,84617.83,84617.83,84787.06,84448.59,1063000,16.80,89948752175.54,YAHOO_FINANCE
SENSEX,1763225358196,2025-11-15T22:19:18.196,84619.44,84619.44,84788.68,84450.20,1064000,16.80,90035083189.92,YAHOO_FINANCE
SENSEX,1763225298196,2025-11-15T22:18:18.196,84621.04,84621.04,84790.28,84451.80,1065000,16.80,90121404704.42,YAHOO_FINANCE
SENSEX,1763225238196,2025-11-15T22:17:18.196,84622.62,84622.62,84791.87,84453.38,1066000,16.80,90207716512.84,YAHOO_FINANCE
SENSEX,1763225178196,2025-11-15T22:16:18.196,84624.20,84624.20,84793.45,84454.95,1067000,16.80,90294018409.63,YAHOO_FINANCE
SENSEX,1763225118196,2025-11-15T22:15:18.196,84625.76,84625.76,84795.01,84456.51,1068000,16.80,90380310189.93,YAHOO_FINANCE
SENSEX,1763225058196,2025-11-15T22:14:18.196,84627.31,84627.31,84796.56,84458.05,1069000,16.80,90466591649.56,YAHOO_FINANCE
SENSEX,1763224998196,2025-11-15T22:13:18.196,84628.84,84628.84,84798.10,84459.59,1070000,16.80,90552862585.07,YAHOO_FINANCE
SENSEX,1763224938196,2025-11-15T22:12:18.196,84630.37,84630.37,84799.63,84461.11,1071000,16.80,90639122793.75,YAHOO_FINANCE
SENSEX,1763224878196,2025-11-15T22:11:18.196,84631.88,84631.88,84801.14,84462.61,1072000,16.80,90725372073.67,YAHOO_FINANCE
SENSEX,1763224818196,2025-11-15T22:10:18.196,84633.37,84633.37,84802.64,84464.11,1073000,16.80,90811610223.67,YAHOO_FINANCE
SENSEX,1763224758196,2025-11-15T22:09:18.196,84634.86,84634.86,84804.13,84465.59,1074000,16.80,90897837043.42,YAHOO_FINANCE
SENSEX,1763224698196,2025-11-15T22:08:18.196,84636.33,84636.33,84805.60,84467.06,1075000,16.80,90984052333.41,YAHOO_FINANCE
SENSEX,1763224638196,2025-11-15T22:07:18.196,84637.78,84637.78,84807.06,84468.51,1076000,16.80,91070255894.99,YAHOO_FINANCE
SENSEX,1763224578196,2025-11-15T22:06:18.196,84639.23,84639.23,84808.51,84469.95,1077000,16.80,91156447530.40,YAHOO_FINANCE
SENSEX,1763224518196,2025-11-15T22:05:18.196,84640.66,84640.66,84809.94,84471.37,1078000,16.80,91242627042.78,YAHOO_FINANCE
SENSEX,1763224458196,2025-11-15T22:04:18.196,84642.07,84642.07,84811.35,84472.79,1079000,16.80,91328794236.19,YAHOO_FINANCE
SENSEX,1763224398196,2025-11-15T22:03:18.196,84643.47,84643.47,84812.76,84474.18,1080000,16.80,91414948915.63,YAHOO_FINANCE
SENSEX,1763224338196,2025-11-15T22:02:18.196,84644.86,84644.86,84814.15,84475.57,1081000,16.80,91501090887.10,YAHOO_FINANCE
SENSEX,1763224278196,2025-11-15T22:01:18.196,84646.23,84646.23,84815.52,84476.94,1082000,16.80,91587219957.55,YAHOO_FINANCE
SENSEX,1763224218196,2025-11-15T22:00:18.196,84647.59,84647.59,84816.88,84478.29,1083000,16.80,91673335934.98,YAHOO_FINANCE
SENSEX,1763224158196,2025-11-15T21:59:18.196,84648.93,84648.93,84818.23,84479.63,1084000,16.80,91759438628.41,YAHOO_FINANCE
SENSEX,1763224098196,2025-11-15T21:58:18.196,84650.26,84650.26,84819.56,84480.96,1085000,16.80,91845527847.92,YAHOO_FINANCE
SENSEX,1763224038196,2025-11-15T21:57:18.196,84651.57,84651.57,84820.87,84482.27,1086000,16.80,91931603404.66,YAHOO_FINANCE
SENSEX,1763223978196,2025-11-15T21:56:18.196,84652.87,84652.87,84822.17,84483.56,1087000,16.80,92017665110.91,YAHOO_FINANCE
SENSEX,1763223918196,2025-11-15T21:55:18.196,84654.15,84654.15,84823.46,84484.84,1088000,16.80,92103712780.05,YAHOO_FINANCE
SENSEX,1763223858196,2025-11-15T21:54:18.196,84655.41,84655.41,84824.73,84486.10,1089000,16.80,92189746226.61,YAHOO_FINANCE
SENSEX,1763223798196,2025-11-15T21:53:18.196,84656.67,84656.67,84825.98,84487.35,1090000,16.80,92275765266.30,YAHOO_FINANCE
SENSEX,1763223738196,2025-11-15T21:52:18.196,84657.90,84657.90,84827.22,84488.58,1091000,16.80,92361769716.00,YAHOO_FINANCE
SENSEX,1763223678196,2025-11-15T21:51:18.196,84659.12,84659.12,84828.44,84489.80,1092000,16.80,92447759393.82,YAHOO_FINANCE
SENSEX,1763223618196,2025-11-15T21:50:18.196,84660.32,84660.32,84829.64,84491.00,1093000,16.80,92533734119.08,YAHOO_FINANCE
SENSEX,1763223558196,2025-11-15T21:49:18.196,84661.51,84661.51,84830.83,84492.19,1094000,16.80,92619693712.37,YAHOO_FINANCE
SENSEX,1763223498196,2025-11-15T21:48:18.196,84662.68,84662.68,84832.01,84493.36,1095000,16.80,92705637995.55,YAHOO_FINANCE
SENSEX,1763223438196,2025-11-15T21:47:18.196,84663.84,84663.84,84833.17,84494.51,1096000,16.80,92791566791.77,YAHOO_FINANCE
SENSEX,1763223378196,2025-11-15T21:46:18.196,84664.98,84664.98,84834.31,84495.65,1097000,16.80,92877479925.51,YAHOO_FINANCE
SENSEX,1763223318196,2025-11-15T21:45:18.196,84666.10,84666.10,84835.43,84496.77,1098000,16.80,92963377222.56,YAHOO_FINANCE
SENSEX,1763223258196,2025-11-15T21:44:18.196,84667.21,84667.21,84836.54,84497.87,1099000,16.80,93049258510.10,YAHOO_FINANCE
SENSEX,1763223198196,2025-11-15T21:43:18.196,84668.29,84668.29,84837.63,84498.96,1100000,16.80,93135123616.66,YAHOO_FINANCE
SENSEX,1763223138196,2025-11-15T21:42:18.196,84669.37,84669.37,84838.71,84500.03,1101000,16.80,93220972372.18,YAHOO_FINANCE
SENSEX,1763223078196,2025-11-15T21:41:18.196,84670.42,84670.42,84839.76,84501.08,1102000,16.80,93306804608.04,YAHOO_FINANCE
SENSEX,1763223018196,2025-11-15T21:40:18.196,84671.46,84671.46,84840.80,84502.12,1103000,16.80,93392620157.02,YAHOO_FINANCE
SENSEX,1763222958196,2025-11-15T21:39:18.196,84672.48,84672.48,84841.83,84503.14,1104000,16.80,93478418853.38,YAHOO_FINANCE
SENSEX,1763222898196,2025-11-15T21:38:18.196,84673.48,84673.48,84842.83,84504.14,1105000,16.80,93564200532.86,YAHOO_FINANCE
SENSEX,1763222838196,2025-11-15T21:37:18.196,84674.47,84674.47,84843.82,84505.12,1106000,16.80,93649965032.69,YAHOO_FINANCE
SENSEX,1763222778196,2025-11-15T21:36:18.196,84675.44,84675.44,84844.79,84506.09,1107000,16.80,93735712191.65,YAHOO_FINANCE
SENSEX,1763222718196,2025-11-15T21:35:18.196,84676.39,84676.39,84845.74,84507.04,1108000,16.80,93821441850.01,YAHOO_FINANCE
SENSEX,1763222658196,2025-11-15T21:34:18.196,84677.33,84677.33,84846.68,84507.97,1109000,16.80,93907153849.62,YAHOO_FINANCE
SENSEX,1763222598196,2025-11-15T21:33:18.196,84678.24,84678.24,84847.60,84508.88,1110000,16.80,93992848033.93,YAHOO_FINANCE
SENSEX,1763222538196,2025-11-15T21:32:18.196,84679.14,84679.14,84848.50,84509.78,1111000,16.80,94078524247.96,YAHOO_FINANCE
SENSEX,1763222478196,2025-11-15T21:31:18.196,84680.02,84680.02,84849.38,84510.66,1112000,16.80,94164182338.34,YAHOO_FINANCE
SENSEX,1763222418196,2025-11-15T21:30:18.196,84680.88,84680.88,84850.24,84511.52,1113000,16.80,94249822153.36,YAHOO_FINANCE
