Index,Last_Price,Change,Percent_Change,Open,High,Low,Volume,Market_Sentiment,Source,Timestamp
NIFTY 50,19731.69,-68.31,-0.345,19752.91,19764.97,19713.31,2653412,Bearish,Realistic Demo Data,2025-11-03 23:35:25
SENSEX,66418.59,-81.41,-0.122,66566.7,66568.34,66384.29,1372932,Bearish,Realistic Demo Data,2025-11-03 23:35:25
NIFTY BANK,45405.13,205.13,0.454,45164.38,45477.93,45097.64,2031718,Bearish,Realistic Demo Data,2025-11-03 23:35:25
NIFTY IT,29563.7,63.7,0.216,29476.26,29571.26,29474.77,857658,Bearish,Realistic Demo Data,2025-11-03 23:35:25
NIFTY PHARMA,13706.58,-93.42,-0.677,13831.17,13836.67,13699.89,1216124,Bearish,Realistic Demo Data,2025-11-03 23:35:25
NIFTY AUTO,16281.35,81.35,0.502,16214.17,16297.75,16186.34,1875336,Bearish,Realistic Demo Data,2025-11-03 23:35:25
NIFTY METAL,7042.27,-57.73,-0.813,7099.76,7116.12,7039.78,2492858,Bearish,Realistic Demo Data,2025-11-03 23:35:25
NIFTY REALTY,442.65,-7.35,-1.633,444.29,447.59,438.46,2309462,Bearish,Realistic Demo Data,2025-11-03 23:35:25
NIFTY FMCG,52813.63,-186.37,-0.352,52954.07,52988.88,52796.21,2853955,Bearish,Realistic Demo Data,2025-11-03 23:35:25
NIFTY PSU BANK,3800.8,0.8,0.021,3786.23,3805.47,3778.44,2374326,Bearish,Realistic Demo Data,2025-11-03 23:35:25
