Index,CallDate,ExpiryDate,Type,StrikePrice,IndexPrice,Premium,Signal,Reason,Confidence,TimeFrame
NIFTY,2025-10-20,2025-10-23,CE,23200,23196.21,97.45,BUY,Bullish sentiment - ATM CE,85.9,INTRADAY
NIFTY,2025-10-20,2025-10-23,CE,23250,23196.21,97.71,BUY,Strong bullish - OTM CE,68.7,SWING
NIFTY,2025-10-21,2025-10-23,CE,23050,23047.88,80.10,BUY,Bullish sentiment - ATM CE,60.9,INTRADAY
NIFTY,2025-10-22,2025-10-23,CE,22650,22635.51,52.26,BUY,Bullish sentiment - ATM CE,65.0,INTRADAY
NIFTY,2025-10-23,2025-10-23,CE,21850,21867.95,17.52,BUY,Bullish sentiment - ATM CE,92.8,INTRADAY
NIFTY,2025-10-23,2025-10-23,CE,21900,21867.95,1.00,BUY,Strong bullish - OTM CE,74.2,SWING
NIFTY,2025-10-24,2025-11-06,CE,21550,21542.96,209.80,BUY,Bullish sentiment - ATM CE,68.5,INTRADAY
BANKNIFTY,2025-10-20,2025-10-23,CE,48300,48285.99,188.45,BUY,High volatility straddle - CE leg,67.5,INTRADAY
BANKNIFTY,2025-10-20,2025-10-23,PE,48300,48285.99,202.63,BUY,High volatility straddle - PE leg,67.5,INTRADAY
BANKNIFTY,2025-10-21,2025-10-23,PE,48000,47977.21,184.03,BUY,Bearish sentiment - ATM PE,82.5,INTRADAY
BANKNIFTY,2025-10-21,2025-10-23,PE,47900,47977.21,144.04,BUY,Strong bearish - OTM PE,66.0,SWING
BANKNIFTY,2025-10-22,2025-10-23,PE,47100,47118.81,119.51,BUY,Bearish sentiment - ATM PE,74.7,INTRADAY
BANKNIFTY,2025-10-23,2025-10-23,PE,45500,45521.04,1.00,BUY,Bearish sentiment - ATM PE,88.8,INTRADAY
BANKNIFTY,2025-10-23,2025-10-23,PE,45400,45521.04,1.00,BUY,Strong bearish - OTM PE,71.0,SWING
BANKNIFTY,2025-10-24,2025-11-06,PE,44800,44844.53,370.94,BUY,Bearish sentiment - ATM PE,63.1,INTRADAY
FINNIFTY,2025-10-20,2025-10-23,CE,22250,22249.43,79.06,BUY,Bullish sentiment - ATM CE,88.0,INTRADAY
FINNIFTY,2025-10-20,2025-10-23,CE,22300,22249.43,76.24,BUY,Strong bullish - OTM CE,70.4,SWING
FINNIFTY,2025-10-21,2025-10-23,CE,22100,22107.15,68.02,BUY,Bullish sentiment - ATM CE,62.0,INTRADAY
FINNIFTY,2025-10-22,2025-10-23,CE,21700,21711.61,52.07,BUY,Bullish sentiment - ATM CE,94.3,INTRADAY
FINNIFTY,2025-10-22,2025-10-23,CE,21750,21711.61,46.56,BUY,Strong bullish - OTM CE,75.4,SWING
FINNIFTY,2025-10-23,2025-10-23,CE,21000,20975.38,1.00,BUY,Bullish sentiment - ATM CE,70.5,INTRADAY
FINNIFTY,2025-10-24,2025-11-06,CE,20650,20663.65,187.89,BUY,Bullish sentiment - ATM CE,92.2,INTRADAY
FINNIFTY,2025-10-24,2025-11-06,CE,20700,20663.65,168.87,BUY,Strong bullish - OTM CE,73.7,SWING
