Date,Time,Price,Change,ChangePercent,Volume,High,Low,Open,Source
2025-10-30,09:15:00,84782.47,0.00,0.0000,0,84787.47,84777.47,84784.96,Yahoo-Interpolated
2025-10-30,09:15:05,84781.53,-0.94,-0.0011,0,84786.53,84776.53,84781.87,Yahoo-Interpolated
2025-10-30,09:15:10,84780.58,-1.89,-0.0022,0,84785.58,84775.58,84776.88,Yahoo-Interpolated
2025-10-30,09:15:15,84779.64,-2.83,-0.0033,0,84784.64,84774.64,84780.86,Yahoo-Interpolated
2025-10-30,09:15:20,84778.70,-3.77,-0.0044,0,84783.70,84773.70,84776.50,Yahoo-Interpolated
2025-10-30,09:15:25,84777.76,-4.71,-0.0056,0,84782.76,84772.76,84781.18,Yahoo-Interpolated
2025-10-30,09:15:30,84776.81,-5.66,-0.0067,0,84781.81,84771.81,84773.57,Yahoo-Interpolated
2025-10-30,09:15:35,84775.87,-6.60,-0.0078,0,84780.87,84770.87,84775.74,Yahoo-Interpolated
2025-10-30,09:15:40,84774.93,-7.54,-0.0089,0,84779.93,84769.93,84774.07,Yahoo-Interpolated
2025-10-30,09:15:45,84773.98,-8.48,-0.0100,0,84778.98,84768.98,84769.98,Yahoo-Interpolated
2025-10-30,09:15:50,84773.04,-9.43,-0.0111,0,84778.04,84768.04,84774.42,Yahoo-Interpolated
2025-10-30,09:15:55,84772.10,-10.37,-0.0122,0,84777.10,84767.10,84776.76,Yahoo-Interpolated
2025-10-30,09:16:00,84771.16,0.00,0.0000,0,84776.16,84766.16,84773.55,Yahoo-Interpolated
2025-10-30,09:16:05,84768.16,-2.99,-0.0035,0,84773.16,84763.16,84765.27,Yahoo-Interpolated
2025-10-30,09:16:10,84765.17,-5.99,-0.0071,0,84770.17,84760.17,84764.56,Yahoo-Interpolated
2025-10-30,09:16:15,84762.18,-8.98,-0.0106,0,84767.18,84757.18,84762.15,Yahoo-Interpolated
2025-10-30,09:16:20,84759.18,-11.97,-0.0141,0,84764.18,84754.18,84756.80,Yahoo-Interpolated
2025-10-30,09:16:25,84756.19,-14.96,-0.0177,0,84761.19,84751.19,84756.15,Yahoo-Interpolated
2025-10-30,09:16:30,84753.20,-17.96,-0.0212,0,84758.20,84748.20,84750.23,Yahoo-Interpolated
2025-10-30,09:16:35,84750.21,-20.95,-0.0247,0,84755.21,84745.21,84749.08,Yahoo-Interpolated
2025-10-30,09:16:40,84747.21,-23.94,-0.0282,0,84752.21,84742.21,84748.75,Yahoo-Interpolated
2025-10-30,09:16:45,84744.22,-26.94,-0.0318,0,84749.22,84739.22,84748.69,Yahoo-Interpolated
2025-10-30,09:16:50,84741.23,-29.93,-0.0353,0,84746.23,84736.23,84745.21,Yahoo-Interpolated
2025-10-30,09:16:55,84738.24,-32.92,-0.0388,0,84743.24,84733.24,84738.43,Yahoo-Interpolated
2025-10-30,09:17:00,84735.24,0.00,0.0000,0,84740.24,84730.24,84732.68,Yahoo-Interpolated
2025-10-30,09:17:05,84737.96,2.71,0.0032,0,84742.96,84732.96,84742.39,Yahoo-Interpolated
2025-10-30,09:17:10,84740.67,5.43,0.0064,0,84745.67,84735.67,84740.98,Yahoo-Interpolated
2025-10-30,09:17:15,84743.39,8.14,0.0096,0,84748.39,84738.39,84744.05,Yahoo-Interpolated
2025-10-30,09:17:20,84746.10,10.86,0.0128,0,84751.10,84741.10,84742.55,Yahoo-Interpolated
2025-10-30,09:17:25,84748.82,13.57,0.0160,0,84753.82,84743.82,84751.91,Yahoo-Interpolated
2025-10-30,09:17:30,84751.53,16.29,0.0192,0,84756.53,84746.53,84750.58,Yahoo-Interpolated
2025-10-30,09:17:35,84754.25,19.00,0.0224,0,84759.25,84749.25,84753.64,Yahoo-Interpolated
2025-10-30,09:17:40,84756.96,21.72,0.0256,0,84761.96,84751.96,84752.44,Yahoo-Interpolated
2025-10-30,09:17:45,84759.68,24.43,0.0288,0,84764.68,84754.68,84756.92,Yahoo-Interpolated
2025-10-30,09:17:50,84762.39,27.15,0.0320,0,84767.39,84757.39,84767.37,Yahoo-Interpolated
2025-10-30,09:17:55,84765.11,29.86,0.0352,0,84770.11,84760.11,84769.45,Yahoo-Interpolated
2025-10-30,09:18:00,84767.82,0.00,0.0000,0,84772.82,84762.82,84767.31,Yahoo-Interpolated
2025-10-30,09:18:05,84768.70,0.88,0.0010,0,84773.70,84763.70,84770.07,Yahoo-Interpolated
2025-10-30,09:18:10,84769.57,1.75,0.0021,0,84774.57,84764.57,84771.98,Yahoo-Interpolated
2025-10-30,09:18:15,84770.45,2.63,0.0031,0,84775.45,84765.45,84772.54,Yahoo-Interpolated
2025-10-30,09:18:20,84771.32,3.50,0.0041,0,84776.32,84766.32,84771.35,Yahoo-Interpolated
2025-10-30,09:18:25,84772.20,4.38,0.0052,0,84777.20,84767.20,84770.05,Yahoo-Interpolated
2025-10-30,09:18:30,84773.07,5.25,0.0062,0,84778.07,84768.07,84776.52,Yahoo-Interpolated
2025-10-30,09:18:35,84773.95,6.13,0.0072,0,84778.95,84768.95,84776.85,Yahoo-Interpolated
2025-10-30,09:18:40,84774.83,7.01,0.0083,0,84779.83,84769.83,84772.69,Yahoo-Interpolated
2025-10-30,09:18:45,84775.70,7.88,0.0093,0,84780.70,84770.70,84773.87,Yahoo-Interpolated
2025-10-30,09:18:50,84776.58,8.76,0.0103,0,84781.58,84771.58,84780.20,Yahoo-Interpolated
2025-10-30,09:18:55,84777.45,9.63,0.0114,0,84782.45,84772.45,84780.19,Yahoo-Interpolated
2025-10-30,09:19:00,84778.33,0.00,0.0000,0,84783.33,84773.33,84782.87,Yahoo-Interpolated
2025-10-30,09:19:05,84777.87,-0.46,-0.0005,0,84782.87,84772.87,84781.47,Yahoo-Interpolated
2025-10-30,09:19:10,84777.42,-0.91,-0.0011,0,84782.42,84772.42,84780.78,Yahoo-Interpolated
2025-10-30,09:19:15,84776.96,-1.37,-0.0016,0,84781.96,84771.96,84779.79,Yahoo-Interpolated
2025-10-30,09:19:20,84776.51,-1.82,-0.0021,0,84781.51,84771.51,84773.40,Yahoo-Interpolated
2025-10-30,09:19:25,84776.05,-2.28,-0.0027,0,84781.05,84771.05,84776.17,Yahoo-Interpolated
2025-10-30,09:19:30,84775.60,-2.73,-0.0032,0,84780.60,84770.60,84778.14,Yahoo-Interpolated
2025-10-30,09:19:35,84775.14,-3.19,-0.0038,0,84780.14,84770.14,84770.21,Yahoo-Interpolated
2025-10-30,09:19:40,84774.69,-3.64,-0.0043,0,84779.69,84769.69,84773.49,Yahoo-Interpolated
2025-10-30,09:19:45,84774.23,-4.10,-0.0048,0,84779.23,84769.23,84778.45,Yahoo-Interpolated
2025-10-30,09:19:50,84773.78,-4.55,-0.0054,0,84778.78,84768.78,84773.68,Yahoo-Interpolated
2025-10-30,09:19:55,84773.32,-5.01,-0.0059,0,84778.32,84768.32,84771.96,Yahoo-Interpolated
2025-10-30,09:20:00,84772.87,0.00,0.0000,0,84777.87,84767.87,84769.39,Yahoo-Interpolated
2025-10-30,09:20:05,84771.34,-1.52,-0.0018,0,84776.34,84766.34,84772.28,Yahoo-Interpolated
2025-10-30,09:20:10,84769.82,-3.05,-0.0036,0,84774.82,84764.82,84770.94,Yahoo-Interpolated
2025-10-30,09:20:15,84768.29,-4.57,-0.0054,0,84773.29,84763.29,84767.28,Yahoo-Interpolated
2025-10-30,09:20:20,84766.77,-6.10,-0.0072,0,84771.77,84761.77,84764.30,Yahoo-Interpolated
2025-10-30,09:20:25,84765.25,-7.62,-0.0090,0,84770.25,84760.25,84760.32,Yahoo-Interpolated
2025-10-30,09:20:30,84763.72,-9.14,-0.0108,0,84768.72,84758.72,84760.69,Yahoo-Interpolated
2025-10-30,09:20:35,84762.20,-10.67,-0.0126,0,84767.20,84757.20,84757.94,Yahoo-Interpolated
2025-10-30,09:20:40,84760.67,-12.19,-0.0144,0,84765.67,84755.67,84758.49,Yahoo-Interpolated
2025-10-30,09:20:45,84759.15,-13.72,-0.0162,0,84764.15,84754.15,84758.63,Yahoo-Interpolated
2025-10-30,09:20:50,84757.63,-15.24,-0.0180,0,84762.63,84752.63,84755.62,Yahoo-Interpolated
2025-10-30,09:20:55,84756.10,-16.76,-0.0198,0,84761.10,84751.10,84755.81,Yahoo-Interpolated
2025-10-30,09:21:00,84754.58,0.00,0.0000,0,84759.58,84749.58,84753.98,Yahoo-Interpolated
2025-10-30,09:21:05,84754.29,-0.29,-0.0003,0,84759.29,84749.29,84756.57,Yahoo-Interpolated
2025-10-30,09:21:10,84753.99,-0.58,-0.0007,0,84758.99,84748.99,84757.16,Yahoo-Interpolated
2025-10-30,09:21:15,84753.70,-0.88,-0.0010,0,84758.70,84748.70,84756.51,Yahoo-Interpolated
2025-10-30,09:21:20,84753.41,-1.17,-0.0014,0,84758.41,84748.41,84751.54,Yahoo-Interpolated
2025-10-30,09:21:25,84753.12,-1.46,-0.0017,0,84758.12,84748.12,84748.79,Yahoo-Interpolated
2025-10-30,09:21:30,84752.82,-1.75,-0.0021,0,84757.82,84747.82,84750.69,Yahoo-Interpolated
2025-10-30,09:21:35,84752.53,-2.05,-0.0024,0,84757.53,84747.53,84749.25,Yahoo-Interpolated
2025-10-30,09:21:40,84752.24,-2.34,-0.0028,0,84757.24,84747.24,84753.56,Yahoo-Interpolated
2025-10-30,09:21:45,84751.95,-2.63,-0.0031,0,84756.95,84746.95,84746.98,Yahoo-Interpolated
2025-10-30,09:21:50,84751.65,-2.92,-0.0034,0,84756.65,84746.65,84752.44,Yahoo-Interpolated
2025-10-30,09:21:55,84751.36,-3.22,-0.0038,0,84756.36,84746.36,84748.64,Yahoo-Interpolated
2025-10-30,09:22:00,84751.07,0.00,0.0000,0,84756.07,84746.07,84747.69,Yahoo-Interpolated
2025-10-30,09:22:05,84753.22,2.15,0.0025,0,84758.22,84748.22,84749.47,Yahoo-Interpolated
2025-10-30,09:22:10,84755.37,4.30,0.0051,0,84760.37,84750.37,84755.76,Yahoo-Interpolated
2025-10-30,09:22:15,84757.53,6.46,0.0076,0,84762.53,84752.53,84759.88,Yahoo-Interpolated
2025-10-30,09:22:20,84759.68,8.61,0.0102,0,84764.68,84754.68,84755.72,Yahoo-Interpolated
2025-10-30,09:22:25,84761.83,10.76,0.0127,0,84766.83,84756.83,84765.02,Yahoo-Interpolated
2025-10-30,09:22:30,84763.98,12.91,0.0152,0,84768.98,84758.98,84762.78,Yahoo-Interpolated
2025-10-30,09:22:35,84766.13,15.06,0.0178,0,84771.13,84761.13,84766.14,Yahoo-Interpolated
2025-10-30,09:22:40,84768.28,17.21,0.0203,0,84773.28,84763.28,84772.13,Yahoo-Interpolated
2025-10-30,09:22:45,84770.44,19.37,0.0228,0,84775.44,84765.44,84774.89,Yahoo-Interpolated
2025-10-30,09:22:50,84772.59,21.52,0.0254,0,84777.59,84767.59,84768.05,Yahoo-Interpolated
2025-10-30,09:22:55,84774.74,23.67,0.0279,0,84779.74,84769.74,84777.07,Yahoo-Interpolated
2025-10-30,09:23:00,84776.89,0.00,0.0000,0,84781.89,84771.89,84779.83,Yahoo-Interpolated
2025-10-30,09:23:05,84775.31,-1.59,-0.0019,0,84780.31,84770.31,84776.14,Yahoo-Interpolated
2025-10-30,09:23:10,84773.72,-3.17,-0.0037,0,84778.72,84768.72,84776.64,Yahoo-Interpolated
2025-10-30,09:23:15,84772.13,-4.76,-0.0056,0,84777.13,84767.13,84770.14,Yahoo-Interpolated
2025-10-30,09:23:20,84770.55,-6.34,-0.0075,0,84775.55,84765.55,84772.56,Yahoo-Interpolated
2025-10-30,09:23:25,84768.96,-7.93,-0.0093,0,84773.96,84763.96,84769.43,Yahoo-Interpolated
2025-10-30,09:23:30,84767.38,-9.51,-0.0112,0,84772.38,84762.38,84772.07,Yahoo-Interpolated
2025-10-30,09:23:35,84765.79,-11.10,-0.0131,0,84770.79,84760.79,84768.99,Yahoo-Interpolated
2025-10-30,09:23:40,84764.21,-12.68,-0.0150,0,84769.21,84759.21,84769.17,Yahoo-Interpolated
2025-10-30,09:23:45,84762.62,-14.27,-0.0168,0,84767.62,84757.62,84761.07,Yahoo-Interpolated
2025-10-30,09:23:50,84761.04,-15.85,-0.0187,0,84766.04,84756.04,84759.87,Yahoo-Interpolated
2025-10-30,09:23:55,84759.45,-17.44,-0.0206,0,84764.45,84754.45,84755.40,Yahoo-Interpolated
2025-10-30,09:24:00,84757.87,0.00,0.0000,0,84762.87,84752.87,84762.68,Yahoo-Interpolated
2025-10-30,09:24:05,84755.50,-2.37,-0.0028,0,84760.50,84750.50,84757.41,Yahoo-Interpolated
2025-10-30,09:24:10,84753.13,-4.74,-0.0056,0,84758.13,84748.13,84753.97,Yahoo-Interpolated
2025-10-30,09:24:15,84750.76,-7.10,-0.0084,0,84755.76,84745.76,84754.86,Yahoo-Interpolated
2025-10-30,09:24:20,84748.40,-9.47,-0.0112,0,84753.40,84743.40,84745.10,Yahoo-Interpolated
2025-10-30,09:24:25,84746.03,-11.84,-0.0140,0,84751.03,84741.03,84745.52,Yahoo-Interpolated
2025-10-30,09:24:30,84743.66,-14.21,-0.0168,0,84748.66,84738.66,84740.37,Yahoo-Interpolated
2025-10-30,09:24:35,84741.29,-16.57,-0.0196,0,84746.29,84736.29,84741.84,Yahoo-Interpolated
2025-10-30,09:24:40,84738.92,-18.94,-0.0223,0,84743.92,84733.92,84737.20,Yahoo-Interpolated
2025-10-30,09:24:45,84736.56,-21.31,-0.0251,0,84741.56,84731.56,84732.53,Yahoo-Interpolated
2025-10-30,09:24:50,84734.19,-23.68,-0.0279,0,84739.19,84729.19,84734.32,Yahoo-Interpolated
2025-10-30,09:24:55,84731.82,-26.05,-0.0307,0,84736.82,84726.82,84734.40,Yahoo-Interpolated
2025-10-30,09:25:00,84729.45,0.00,0.0000,0,84734.45,84724.45,84730.93,Yahoo-Interpolated
2025-10-30,09:25:05,84731.98,2.53,0.0030,0,84736.98,84726.98,84731.36,Yahoo-Interpolated
2025-10-30,09:25:10,84734.52,5.06,0.0060,0,84739.52,84729.52,84732.43,Yahoo-Interpolated
2025-10-30,09:25:15,84737.05,7.59,0.0090,0,84742.05,84732.05,84740.63,Yahoo-Interpolated
2025-10-30,09:25:20,84739.58,10.13,0.0119,0,84744.58,84734.58,84736.10,Yahoo-Interpolated
2025-10-30,09:25:25,84742.11,12.66,0.0149,0,84747.11,84737.11,84739.84,Yahoo-Interpolated
2025-10-30,09:25:30,84744.64,15.19,0.0179,0,84749.64,84739.64,84748.86,Yahoo-Interpolated
2025-10-30,09:25:35,84747.17,17.72,0.0209,0,84752.17,84742.17,84744.24,Yahoo-Interpolated
2025-10-30,09:25:40,84749.70,20.25,0.0239,0,84754.70,84744.70,84747.17,Yahoo-Interpolated
2025-10-30,09:25:45,84752.23,22.78,0.0269,0,84757.23,84747.23,84749.39,Yahoo-Interpolated
2025-10-30,09:25:50,84754.77,25.31,0.0299,0,84759.77,84749.77,84751.97,Yahoo-Interpolated
2025-10-30,09:25:55,84757.30,27.84,0.0329,0,84762.30,84752.30,84759.65,Yahoo-Interpolated
2025-10-30,09:26:00,84759.83,0.00,0.0000,0,84764.83,84754.83,84758.84,Yahoo-Interpolated
2025-10-30,09:26:05,84758.34,-1.49,-0.0018,0,84763.34,84753.34,84759.43,Yahoo-Interpolated
2025-10-30,09:26:10,84756.86,-2.97,-0.0035,0,84761.86,84751.86,84758.41,Yahoo-Interpolated
2025-10-30,09:26:15,84755.37,-4.46,-0.0053,0,84760.37,84750.37,84756.05,Yahoo-Interpolated
2025-10-30,09:26:20,84753.89,-5.94,-0.0070,0,84758.89,84748.89,84749.59,Yahoo-Interpolated
2025-10-30,09:26:25,84752.40,-7.43,-0.0088,0,84757.40,84747.40,84755.50,Yahoo-Interpolated
2025-10-30,09:26:30,84750.91,-8.91,-0.0105,0,84755.91,84745.91,84747.16,Yahoo-Interpolated
2025-10-30,09:26:35,84749.43,-10.40,-0.0123,0,84754.43,84744.43,84748.19,Yahoo-Interpolated
2025-10-30,09:26:40,84747.94,-11.89,-0.0140,0,84752.94,84742.94,84746.02,Yahoo-Interpolated
2025-10-30,09:26:45,84746.46,-13.37,-0.0158,0,84751.46,84741.46,84748.30,Yahoo-Interpolated
2025-10-30,09:26:50,84744.97,-14.86,-0.0175,0,84749.97,84739.97,84745.12,Yahoo-Interpolated
2025-10-30,09:26:55,84743.49,-16.34,-0.0193,0,84748.49,84738.49,84747.29,Yahoo-Interpolated
2025-10-30,09:27:00,84742.00,0.00,0.0000,0,84747.00,84737.00,84737.05,Yahoo-Interpolated
2025-10-30,09:27:05,84744.29,2.29,0.0027,0,84749.29,84739.29,84741.96,Yahoo-Interpolated
2025-10-30,09:27:10,84746.57,4.57,0.0054,0,84751.57,84741.57,84743.37,Yahoo-Interpolated
2025-10-30,09:27:15,84748.86,6.86,0.0081,0,84753.86,84743.86,84749.32,Yahoo-Interpolated
2025-10-30,09:27:20,84751.14,9.14,0.0108,0,84756.14,84746.14,84749.40,Yahoo-Interpolated
2025-10-30,09:27:25,84753.43,11.43,0.0135,0,84758.43,84748.43,84757.95,Yahoo-Interpolated
2025-10-30,09:27:30,84755.71,13.71,0.0162,0,84760.71,84750.71,84752.04,Yahoo-Interpolated
2025-10-30,09:27:35,84758.00,16.00,0.0189,0,84763.00,84753.00,84753.50,Yahoo-Interpolated
2025-10-30,09:27:40,84760.29,18.29,0.0216,0,84765.29,84755.29,84762.19,Yahoo-Interpolated
2025-10-30,09:27:45,84762.57,20.57,0.0243,0,84767.57,84757.57,84762.37,Yahoo-Interpolated
2025-10-30,09:27:50,84764.86,22.86,0.0270,0,84769.86,84759.86,84769.13,Yahoo-Interpolated
2025-10-30,09:27:55,84767.14,25.14,0.0297,0,84772.14,84762.14,84767.59,Yahoo-Interpolated
2025-10-30,09:28:00,84769.43,0.00,0.0000,0,84774.43,84764.43,84770.83,Yahoo-Interpolated
2025-10-30,09:28:05,84766.56,-2.87,-0.0034,0,84771.56,84761.56,84763.82,Yahoo-Interpolated
2025-10-30,09:28:10,84763.70,-5.73,-0.0068,0,84768.70,84758.70,84760.23,Yahoo-Interpolated
2025-10-30,09:28:15,84760.83,-8.60,-0.0101,0,84765.83,84755.83,84756.67,Yahoo-Interpolated
2025-10-30,09:28:20,84757.97,-11.46,-0.0135,0,84762.97,84752.97,84762.74,Yahoo-Interpolated
2025-10-30,09:28:25,84755.10,-14.33,-0.0169,0,84760.10,84750.10,84750.13,Yahoo-Interpolated
2025-10-30,09:28:30,84752.23,-17.20,-0.0203,0,84757.23,84747.23,84747.40,Yahoo-Interpolated
2025-10-30,09:28:35,84749.37,-20.06,-0.0237,0,84754.37,84744.37,84752.82,Yahoo-Interpolated
2025-10-30,09:28:40,84746.50,-22.93,-0.0270,0,84751.50,84741.50,84750.42,Yahoo-Interpolated
2025-10-30,09:28:45,84743.64,-25.79,-0.0304,0,84748.64,84738.64,84745.10,Yahoo-Interpolated
2025-10-30,09:28:50,84740.77,-28.66,-0.0338,0,84745.77,84735.77,84742.53,Yahoo-Interpolated
2025-10-30,09:28:55,84737.90,-31.52,-0.0372,0,84742.90,84732.90,84742.12,Yahoo-Interpolated
2025-10-30,09:29:00,84735.04,0.00,0.0000,0,84740.04,84730.04,84731.50,Yahoo-Interpolated
2025-10-30,09:29:05,84732.03,-3.01,-0.0036,0,84737.03,84727.03,84728.60,Yahoo-Interpolated
