Date,Time,Open,High,Low,Close,Volume,Source
2025-10-28,09:00:00,82013.74,82026.08,82018.55,82018.84,1380124,Simulated
2025-10-28,09:01:00,81973.11,81974.08,81968.21,81971.08,1607968,Simulated
2025-10-28,09:02:00,81909.98,81925.04,81911.58,81916.64,4151256,Simulated
2025-10-28,09:03:00,81988.19,81993.91,81986.98,81992.07,2814453,Simulated
2025-10-28,09:04:00,81968.79,81974.01,81952.26,81973.53,4042366,Simulated
2025-10-28,09:05:00,81923.15,81940.56,81919.79,81928.20,2766449,Simulated
2025-10-28,09:06:00,82011.75,82027.36,81999.87,82013.36,1168043,Simulated
2025-10-28,09:07:00,82098.32,82107.29,82080.74,82097.51,4051369,Simulated
2025-10-28,09:08:00,82124.02,82134.14,82113.92,82123.89,4495714,Simulated
2025-10-28,09:09:00,82099.92,82100.60,82078.93,82096.37,3414152,Simulated
2025-10-28,09:10:00,82203.48,82210.80,82195.03,82202.29,5934386,Simulated
2025-10-28,09:11:00,82196.97,82198.13,82184.69,82195.15,2931094,Simulated
2025-10-28,09:12:00,82219.46,82231.50,82216.87,82227.54,4973603,Simulated
2025-10-28,09:13:00,82199.42,82208.83,82195.69,82196.75,4547893,Simulated
2025-10-28,09:14:00,82236.01,82229.51,82222.89,82228.33,5769681,Simulated
2025-10-28,09:15:00,82264.19,82272.25,82244.23,82270.99,1975652,Simulated
2025-10-28,09:16:00,82237.15,82238.94,82223.37,82235.65,4163328,Simulated
2025-10-28,09:17:00,82237.79,82256.94,82237.57,82237.90,4810595,Simulated
2025-10-28,09:18:00,82299.38,82309.94,82291.65,82295.24,5902283,Simulated
2025-10-28,09:19:00,82239.84,82241.49,82231.55,82237.53,4136799,Simulated
2025-10-28,09:20:00,82251.77,82241.86,82220.00,82240.26,4695793,Simulated
2025-10-28,09:21:00,82303.40,82306.69,82292.53,82296.65,2100784,Simulated
2025-10-28,09:22:00,82169.99,82170.19,82158.09,82166.45,2300528,Simulated
2025-10-28,09:23:00,82140.94,82144.45,82139.93,82139.94,3771707,Simulated
2025-10-28,09:24:00,81975.14,81985.20,81965.33,81974.99,4860054,Simulated
2025-10-28,09:25:00,81921.57,81935.19,81921.89,81930.98,2565363,Simulated
2025-10-28,09:26:00,81976.11,81980.33,81971.13,81974.72,2972280,Simulated
2025-10-28,09:27:00,81900.82,81902.01,81892.84,81893.27,3418822,Simulated
2025-10-28,09:28:00,82036.50,82037.68,82024.09,82033.32,4220567,Simulated
2025-10-28,09:29:00,81901.02,81908.16,81900.76,81901.02,2205147,Simulated
2025-10-28,09:30:00,81788.78,81795.10,81770.49,81783.61,3967848,Simulated
2025-10-28,09:31:00,81703.22,81724.78,81700.32,81704.61,2379257,Simulated
2025-10-28,09:32:00,81683.69,81696.68,81666.94,81682.28,1663046,Simulated
2025-10-28,09:33:00,81777.51,81777.23,81770.35,81775.33,4110206,Simulated
2025-10-28,09:34:00,81979.24,81985.71,81971.83,81976.11,1021984,Simulated
2025-10-28,09:35:00,81982.70,81993.36,81985.78,81986.96,3577068,Simulated
2025-10-28,09:36:00,82123.20,82125.58,82107.12,82113.81,4473036,Simulated
2025-10-28,09:37:00,82130.92,82121.62,82118.15,82120.67,3001274,Simulated
2025-10-28,09:38:00,82133.87,82141.00,82136.18,82138.39,4991215,Simulated
2025-10-28,09:39:00,82104.52,82108.26,82106.60,82107.00,1313818,Simulated
2025-10-28,09:40:00,82056.99,82055.01,82038.88,82053.03,1594369,Simulated
2025-10-28,09:41:00,82062.39,82058.50,82054.01,82057.89,2034685,Simulated
2025-10-28,09:42:00,82001.96,82001.90,81985.26,81987.34,1716883,Simulated
2025-10-28,09:43:00,81923.04,81920.61,81902.47,81912.31,1214679,Simulated
2025-10-28,09:44:00,81973.84,81979.34,81965.58,81969.36,5426291,Simulated
2025-10-28,09:45:00,82041.11,82058.58,82042.26,82043.77,5297480,Simulated
2025-10-28,09:46:00,82126.96,82133.77,82117.04,82123.54,5812015,Simulated
2025-10-28,09:47:00,82045.10,82063.42,82046.50,82051.52,4690923,Simulated
2025-10-28,09:48:00,82159.42,82157.51,82134.73,82149.36,5814161,Simulated
2025-10-28,09:49:00,82116.10,82122.96,82115.58,82117.45,4045715,Simulated
2025-10-28,09:50:00,82077.23,82094.30,82068.60,82076.57,4208046,Simulated
2025-10-28,09:51:00,81984.71,81990.39,81976.02,81988.19,5326207,Simulated
2025-10-28,09:52:00,81971.49,81982.26,81973.84,81974.30,5228174,Simulated
2025-10-28,09:53:00,81977.31,81984.49,81979.07,81983.43,3778187,Simulated
2025-10-28,09:54:00,82061.45,82066.35,82048.94,82061.92,5518640,Simulated
2025-10-28,09:55:00,81884.93,81899.24,81879.02,81888.96,4932430,Simulated
2025-10-28,09:56:00,81972.00,81972.88,81965.40,81971.39,2272140,Simulated
