????????????????????????????????????????????????????????????????????????????????
?       SENSEX V31 FAST 120-DAY BACKTEST  —  Trend-Pullback Strategy          ?
????????????????????????????????????????????????????????????????????????????????
Loading 140 days SENSEX data (cached)...
? Fetching HONEST market data (5-Min Resampled) for: SENSEX
? Loaded 6000 candles from disk cache for SENSEX
? Updating live data for SENSEX...
? Historical API URL: https://api.upstox.com/v2/historical-candle/BSE_INDEX%7CSENSEX/1minute/2026-05-29/2026-05-28
? Fetched 0 historical candles for SENSEX
? Intraday: fetched 375 candles for SENSEX
? Cache updated & saved. Size: 6000 candles.
Loaded 6000 candles for SENSEX.

Scanning 2026-01-30 ? 2026-05-29 (80 trading days)


?????????????????????????? V31 RESULTS ??????????????????????????

  Total Calls       : 38
  Full Wins         : 22 (57.9% true WR)
  Partial Wins      : 5
  Losses            : 11
  Win Rate (W+P)    : 71.1%
  Net Points        : +1,484
  Avg Confidence    : 93.4

  Direction breakdown:
    UP   16 calls | WR 68.8% (full 43.8%)
    DOWN 22 calls | WR 72.7% (full 68.2%)

  Daily call distribution (only days with ?1 call):
    1 call : 14 days
    2 calls: 6 days
    3 calls: 4 days
    4 calls: 0 days
    5+ call: 0 days
    Trading days with signals: 24
    Avg calls/active day: 1.58

  Per-call detail:
  Date         Time   Dir        Entry   +Tgt    -SL  Conf Result            P&L  Reason
  ????????????????????????????????????????????????????????????????????????????????????????????????????????????????????????
  2026-02-06   09:45  DOWN      83,128     98     65   95% WIN               +98  SENSEX_V31 | confluence=5/5 | bias=DOWN/DOWN/DOWN | ADX=43.3...
  2026-02-06   10:35  DOWN      83,027     76     50   95% WIN               +76  SENSEX_V31 | confluence=5/5 | bias=DOWN/DOWN/DOWN | ADX=36.3...
  2026-02-10   12:50  UP        84,438     75     50   94% LOSS              -50  SENSEX_V31 | confluence=5/5 | bias=UP/UP/NEUTRAL | ADX=38.8 ...
  2026-02-17   11:30  UP        83,501     75     50   92% WIN               +75  SENSEX_V31 | confluence=5/5 | bias=UP/UP/NEUTRAL | ADX=22.4 ...
  2026-02-18   12:20  UP        83,450     75     50   94% LOSS              -50  SENSEX_V31 | confluence=5/5 | bias=UP/UP/NEUTRAL | ADX=30.1 ...
  2026-02-26   11:45  DOWN      82,251     91     60   94% WIN               +91  SENSEX_V31 | confluence=5/5 | bias=DOWN/DOWN/DOWN | ADX=33.2...
  2026-02-26   12:05  DOWN      82,237     91     61   92% WIN               +91  SENSEX_V31 | confluence=5/5 | bias=DOWN/DOWN/NEUTRAL | ADX=2...
  2026-02-26   13:00  DOWN      82,133     80     54   94% WIN               +80  SENSEX_V31 | confluence=5/5 | bias=DOWN/DOWN/DOWN | ADX=42.5...
  2026-03-06   10:40  DOWN      79,535     75     50   95% WIN               +75  SENSEX_V31 | confluence=5/5 | bias=DOWN/DOWN/NEUTRAL | ADX=3...
  2026-03-06   12:45  DOWN      79,394     75     50   94% LOSS              -50  SENSEX_V31 | confluence=5/5 | bias=DOWN/DOWN/NEUTRAL | ADX=3...
  2026-03-06   14:40  DOWN      79,243     75     50   93% LOSS              -50  SENSEX_V31 | confluence=5/5 | bias=DOWN/DOWN/DOWN | ADX=43.8...
  2026-03-11   14:50  DOWN      77,008     94     62   93% WIN               +94  SENSEX_V31 | confluence=5/5 | bias=DOWN/DOWN/NEUTRAL | ADX=3...
